date,status_text,predicted_stance,predicted_country,stance_anno1,country_anno1,stance_anno2,country_anno2,stance_gold,country_gold
3/5/19,"#WATCH Union minister VK Singh on Congress leader Digvijaya Singh terming #Pulwama terrorist attack an “accident”,says, ""With due respect, I would like to ask Digvijaya Singh Ji, was Rajiv Gandhi's assassination an accident or a terror incident?"" https://t.co/Sm1blc2Gjj",pro_war,pro_india,pro_war,pro_india,pro_war,pro_india,pro_war,pro_india
2/28/19,"बहुत गुरूर है, दरिया को.... अपने होने पर,
जो मेरी प्यास से उलझे तो धज्जियाँ उड़ जाएँ...

#अभिनंदन हम सवा सौ करोड़ हिंदुस्तानी आपका अभिनन्दन कर रहे हैं और वापसी की दुआ भी... यक़ीन है आप सही सलामत और जल्द लौटेंगे.... आपकी हिम्मत को सलाम....
#Abhinandan #AbhinandanMyHero https://t.co/FEXiSPfDIj",pro_war,pro_india,pro_war,pro_india,pro_war,pro_india,pro_war,pro_india
2/24/19,"संभाजीनगरच्या मराठवाडा सांस्कृतिक मंडळाच्या मैदानावर दैनिक 'भास्कर'ने आयोजित केलेल्या एक  सुबह  शहिदो  के नाम  कार्यक्रमात शेकडो नागरिकांनी उस्फूर्तपने  शहीदाना  श्रद्धांजली वाहिली...
#म #मराठी 
#PulwamaTerrorAttack 
#PulwamaAttack 
#दैनिकभास्कर https://t.co/3I5lLgzI93",pro_war,pro_india,neutral,pro_india,pro_war,pro_india,pro_war,pro_india
2/15/19,"एक ये भारत का युवा है जो 44 जवानों के बलिदान के बदले की आग को जलाए बैठा है

और कुछ ऐसे युवा है जो वैलेंटाइन डे के नशे में चूर है,जवानों के शरीर के हिस्से अब तक मिले नही और पार्टी करने में व्यस्त है
Chalo Sabak Sikhaye
#Pulwama 
#IndiaWantsRevenge https://t.co/lvgOrVxsUnNEXT_TWEETदेशवासियों इनके चेहरे पे मत जाईये...!!!
देश के गद्दार नंबर वन ये लोग हैं...
क्योंकि उन्होंने एक चेहरे पर कहीं सारे
चेहरे लगा रखे हैं..जो समय समय पर
अलग अलग नकाब सामने आते रहते हैं।
देशवासियों को पहले इनको Boycott
करने की जरूरत हैं #वंदे_मातरम
#IndiaWantsRevenge https://t.co/nUYbWuZOYENEXT_TWEETहमारे सुरक्षा बलों को पूर्ण स्वतंत्रता दी गई है
हमें अपने सैनिकों के शौर्य पर पूरा भरोसा है: PM @narendramodi जी

#IndiaWantsRevenge
#VandeBharatExpress",pro_war,pro_india,pro_war,pro_india,pro_war,pro_india,pro_war,pro_india
2/16/19,"EACH ONE involved in this heinous act should be punished enough for them to never dare doing such an act again.

Prayers for the martyrs soul.

We are with you... We trust you @PMOIndia @narendramodi ji.
Jai Hind.

#StandWithForces
#IndiaWantsRevenge
#PulwamaTerrorAttack",pro_war,pro_india,pro_war,pro_india,pro_war,pro_india,pro_war,pro_india
2/28/19,"#India demands release of its captured pilot #Abhinandan 
Would he like to go??
#WingCommanderAbhinandan 
#PakistanArmyZindabad 
#Modi
#SayNoToWar 
Long Live #Pakistan 
👇 https://t.co/DVZX0cVF5PNEXT_TWEETHero of today’s strike Squardon Leader Hasan!❤️💚🇵🇰

#PakistanStrikesBack
#PakistanArmyZindabad
#Abhinandan #PeaceNotWar https://t.co/z6vSztqU5kNEXT_TWEETدنیامیں شایدہی کوئی ایسی آرمی ہوجودشمن ملک کےقیدی کی جان بچائےاور پھراسکومہمانوں کی طرح رکھےپاک فوج بےمثال ہےحسن سلوک ہندستانی جنگی قیدی کےساتھ(لیکن میرا خیال ہےآج رات اسے👮پنجاب پولیس کےحوالےکیاجائےان کوبھی موقع ملاناچاہیے😋 
#Abhinandan 
#PakistanArmyZindabad 
 #AbhiTeaNotWar https://t.co/OBJjlIDRcGNEXT_TWEETمحافظ امن کے ہم ہیں
یہ  دنیا  کو  دکھایا  ہے

#SayNoToWar

#PakistanArmyZindabad
#PakistanTheLandOfPeace https://t.co/XzKgw8GLGcNEXT_TWEETWife of #Indian soldier sends appeal to politicians specifically #BJP not to use Indian army to win seats.

That's what we are saying.
#Pakistan #India #PakistanStrikesBack
 #SayNoToWar https://t.co/0vRtP7pzfrNEXT_TWEET#WeSupportPakistanArmy #SayNotoWar #PakistanStrikesBack 
ہمارے کرنل حبیب کو بھارت نے نیپال سے اغوا کیا تھا. انہیں واپس کرے بھارت تو ابھینندن کی واپسی کا سوچیں گے.  پہلے جنگ کی بات کرتے ہو پھر ہم جواب میں منہ پہ ماریں تو روتے.
@ZaidZamanHamid @peaceforchange @APMLOfficial_NEXT_TWEETگیارہواں جھوٹ...
بھارتی میڈیا نے دعویٰ کیا کہ بہاولپورمیں جیش محمد کا تربیتی کیمپ ہے لیکن پاکستان نے میڈیا کو لے جاکر اوپن بریفنگ دی کہ وہاں کوئی تربیتی کیمپ یا دہشتگردوں کا ٹھکانہ نہیں تھا
#15LiesOfIndianMedia #SayNoToWar #PakistanArmyZindabad #Abhinandan
https://t.co/lAOVVztQoR",anti_war,pro_pakistan,anti_war,pro_pakistan,anti_war,pro_pakistan,anti_war,pro_pakistan
2/28/19,"That’s an Indian SOLDIER !
You will feel proud to Listen Wing  Cdr  #Abhinandan of Indian Airforce ! He kept safety, honor &amp; welfare of our country first on every reply !
You lived up to ethos of Indian Armed Forces..We r proud of you Bhai💪Jai Hind @IAF_MCC @adgpi @indiannavy https://t.co/CJ9HMDrDhZ",pro_war,pro_india,neutral,pro_india,neutral,pro_india,neutral,pro_india
2/17/19,"#PakistanZindabad #PakArmy https://t.co/6zUbv5tzpoNEXT_TWEETگیم  صرف ایک منٹ کی ہے۔۔ 
ویڈیو زیادہ سے زیادہ شیئر کریں اور پاک آرمی کا پیغام پورے انڈیا میں آگ کی طرح پھیلا دیں۔۔۔۔!!!
PMOIndia 
Ghost_Operators 
timesofindia 
#PulwamaAttack https://t.co/OzrTt6I8LfNEXT_TWEETThere is no power that can ever undo Pakistan 🇵🇰 - Quaid e Azam Muhammad Ali Jinnah. 
#LetsTalkKulbhushan
#PulwamaAttack
#CrownPrinceinPakistanNEXT_TWEET#Umar_says
بھارتی فوج کے کمانڈر لیفٹیننٹ جنرل ڈی ایس ہودا نے اعتراف کیا ہے کہ پلوامہ حملے میں بھارت کا ہی ساڑھے سات سو پاؤنڈ بارود استعمال کیا گیا۔
بھارتی جنرل نے نیویارک ٹائمز کو بتایا
👇 👇 👇 👇 👇 
#PulwamaAttack
#WelcomePrinceMBS
#CrownPrinceinPakistanNEXT_TWEETPic 1 : how India treat Kashmiris.
Pic 2 : How India treats Indians.              
It’s the reality of so called World’s biggest Democracy.

#PulwamaAttack
#Kashmir https://t.co/Dv308Z9zHsNEXT_TWEETپاکستان مخالف مہم، امن کادرس دینےوالےبھارتی شاعرجاویداختر نےپلوامہ حملےکےبعد طےشدہ کراچی دورہ منسوخ کردیا.
حکومت کوچاہیےکہ بھارتی فلموں پرمکمل پابندی لگائےتاکہ ہمارے پیسوں سےکشمیر پرجاری ظلم بند ہو اسکےعلاوہ عوام کوبھی بھارتی مواد دیکھنےاور خریدنےسےگریز کرناچاہیے!!
#PulwamaAttack",anti_war,pro_pakistan,pro_war,pro_pakistan,pro_war,pro_pakistan,pro_war,pro_pakistan
3/1/19,"#Abhinandan bashes #IndianMedia for spreading #FakeNews
My jet was shot down by #PakistanAirForce, there was no technical fault at all.
#PakistanArmy saved me from the mob.. Really impressed by #Pakistan #Army's good behavior says Abhinandan
#ImranKhan #SayNoToWar #India https://t.co/gEGmHs8wUPNEXT_TWEETHeavy clashes continue between #Pakistan and #India on the #LoC, even after the transfer of the #IAF Pilot, Wing Commander #Abhinandan.NEXT_TWEETابھی نندن کی رہائی کے بعد بھی حملہ ہوسکتا ہے۔۔۔ ڈاکٹر شاہد مسعود
#Newsonepk #DrShahidMasood #LiveWithDrShahidMasood #Pakistan #BadmashiyaNahiBachayGi #LootiHuweDaulatWapisLao #PMImranKhan #Abhinandan #PakistanLeadsWithPeace #SayNoToWar #India #GoBackModi @Shahidmasooddr https://t.co/w0pxXAuVcrNEXT_TWEETFor complete video click the link 
https://t.co/7tJ9H708ll
#PakistanLeadsWithPeace 
#Abhinandan #Pakistan #India https://t.co/ud1ozZ0Pp4NEXT_TWEET#IAF Pilot, Wing Commander #Abhinandan revealed he never shot down #PAF F-16 as claimed by #India https://t.co/vaDEBsnFxENEXT_TWEET#Pakistan wins again as historical moment of returning #Abhinandan recorded for history. A slap for war mongers as #PakistanLeadsWithPeace https://t.co/oQRTSeHVr5NEXT_TWEET#Abhinandan, Pakistan Armed Forces are symbol of peace &amp; stability not just in Pakistan but also for rest of the World. It's conduct is based on conduct of Islam &amp; teachings of our Prophet Mohammed (S.A.W.W), who let go even those who martyred his Uncle. #WelcomeHomeAbhinandan https://t.co/u03DKASiTsNEXT_TWEET@AmritaRao Indian pilot #Abhinandan bitterly criticize #indianmedia before returning to #india from #Pakistan in a video message.
Think madam AmritaNEXT_TWEETAre you in favor of #Abhinandan's release as a #Peace gesture to #india

#PakistanZindabad #WagahBorder #SayNoToWar #PakistanLeadsWithPeace #ImranKhanForNobelPeacePrize #ImranKhanPrimeMinister #Newsonepk #AbhinandanReturnsNEXT_TWEET- Indian Army fired again on #LOC in Nowshehra Sector 

- Pakistan hands over #IAF Wing Commander #Abhinandan back to IndiaNEXT_TWEET#Pakistan must thank Adnan Sami Khan today who has been an under-cover agent in #India for so many years and provided intel to our armed forces making it possible for us to destroy two Migs of Indian Air Force #indiapakistantensions #Abhinandan https://t.co/pfgcLRsKX4NEXT_TWEETانڈین میڈیا اپنے ملک کے مفاد کو آگے لے کر چل رہا ہے جبکہ پاکستانی میڈیا بھی انڈین ایجنڈے کو آگے لے کر چل رہا ہے۔
@IramFarhanPK @sadafnawaid @RealNeelamAslam @wiseguy112 @javerias @AmritaRao
#GoBackModi
#PakistanLeadsWithPeace
#Abhinandan https://t.co/5VZ9A0AFl0NEXT_TWEETانڈین میڈیا اپنے ملک کے مفاد کو آگے لے کر چل رہا ہے جبکہ پاکستانی میڈیا بھی انڈین ایجنڈے کو آگے لے کر چل رہا ہے۔
@IramFarhanPK @sadafnawaid @RealNeelamAslam @wiseguy112 @javerias @AmritaRao
#GoBackModi
#PakistanLeadsWithPeace
#Abhinandan https://t.co/5VZ9A0AFl0NEXT_TWEET#PMIK told that he tried calling PM Modi but #Modi didn’t answer. This too when #Pakistan had IAF pilot #Abhinandan under arrest
This should go in history books as the only example when the winner was calling the loser to make peace &amp; loser wanted war!
#PakistanLeadsWithPeaceNEXT_TWEETHahaha. . . ! ! !

I can't stop my laughter after watching this video.

Hilarious. . ! ! !

ہاہاہا...!!!

اس ویڈیو کو دیکھنے کے بعد میں اپنی ہنسی کو روک نہیں سکتا.

مزاحیہ۔ !!

#Pakistan #India #World #ASPTI #PakistanZindabad https://t.co/sXnZsPuKdw",anti_war,pro_pakistan,anti_war,pro_pakistan,anti_war,pro_pakistan,anti_war,pro_pakistan
2/19/19,"#JammuAndKashmir : Two terrorists have been killed during encounter between terrorists and security forces, in Pinglan area of #Pulwama district. Operation still in progress.
#PulwamaTerrorAttackNEXT_TWEET@Swamy39 after #PhulwamaTerrorAttack  it's an emergency like situation, time ripen to imply military rule n take stringent actions on culprits, corrpts, traitors without mercy n declare bharath hindrastra so that all fall in line !! make a show, shiva tandava !!! @narendramodi https://t.co/Iozw28sJNUNEXT_TWEET@PMOIndia @narendramodi @vijayrupanibjp @akshaykumar @AkashvaniAIR @RedFMIndia @RadioMirchi my speech for 14th feb 2019.. #PhulwamaTerrorAttack https://t.co/ik3sDxu8tMNEXT_TWEET#IndiaWantsRevenge #IndiaSeeksJustice
@narendramodi ji, @rajnathsingh ji
take revenge ........ 
article 370 kashmir should be abolished  #Scrap370 https://t.co/6PkAt3UM7TNEXT_TWEET@narendramodi
1. Did u ask Adani &amp; Jindaal to stop business with Pak? 

2. 2017-18 Rs. 17000 Cr India paid for imports to Pak. Did u order to make it ZERO ?

3. Did u order to stop Fruits and Sugar import from Pak? 

If not then shut ur mouth &amp; stop Badla Badla #PulwamaAttackNEXT_TWEETThis is how a MLA of @bjd_odisha behaves in public in the time of mourning.People to decide &amp; definitely work speaks.. 

@narendramodi @dpradhanbjp @AprajitaSarangi @MrsGandhi 
#PulwamaAttack https://t.co/41KGnXPXgWNEXT_TWEET@narendramodi Stop Targeting Kashmiri Students , protect the students it is a Govt.Responsibility 
#PulwamaAttack 
#ProtectKashmiriStudents 
@TimesNow 
@varthabharati https://t.co/tz0no3DpqXNEXT_TWEETPulwama shows time for talks over, need to take firm steps now: PM @narendramodi

https://t.co/X0fRRehjqv

#PulwamaAttack https://t.co/QvcHck8gN3NEXT_TWEET@narendramodi 🙏🙏 Well wishes for whole nation and specially our bravehearts martyred families member on occasion of  Sant Guru #RavidasJayanti 🚩🚩 🙏🙏
#PulwamaAttack https://t.co/PhOu5sVo5CNEXT_TWEETThe true soldier fights not because he hates what is in front of him,but because he loves what is behind him.
#PulwamaAttack #Badla @narendramodi @RajnathSingh_in https://t.co/XqvXEGCxCcNEXT_TWEETI wish you stand by your word.. @narendramodi @BJP4India @INCIndia 
#PulwamaAttack https://t.co/aJubwEwklqNEXT_TWEETMr. @narendramodi did u enjoy the bloodshed?
#FreeKashmir #PalwamaAttack https://t.co/KDMt9jdU2E",pro_war,pro_india,pro_war,pro_india,pro_war,pro_pakistan,pro_war,pro_india
